"COD_REG_RBD","RURAL_RBD","GEN_ALU","EDAD_ALU","PROM_GRAL","ASISTENCIA","CIENCIAS"
"10","0","1",17,5.5,90,"0"
"5","0","2",17,6.9,100,"0"
"6","0","2",17,5.6,73,"0"
"8","0","1",17,6.5,92,"0"
"12","0","2",17,6.8,90,"0"
"13","0","2",17,6.2,88,"0"
"5","0","1",17,6.4,91,"0"
"7","0","1",17,6.1,80,"0"
"13","0","1",17,6,84,"0"
"9","0","1",18,6,87,"0"
"14","1","1",18,6.1,92,"0"
"4","0","1",17,6.4,97,"0"
"7","0","1",17,6.8,86,"0"
"4","0","1",18,6.8,94,"0"
"13","0","1",17,6.6,96,"0"
"13","0","1",17,6.9,99,"0"
"8","0","2",49,6.5,100,"0"
"13","0","2",18,6.6,100,"0"
"10","0","1",18,6.3,97,"0"
"8","0","1",17,6.9,98,"0"
"13","0","2",17,6,77,"0"
"13","0","1",17,5.1,96,"0"
"13","0","2",17,6.3,92,"0"
"8","0","2",17,6.5,84,"0"
"14","0","1",17,6.2,94,"0"
"5","0","1",17,6.4,93,"0"
"13","0","1",17,5,99,"0"
"5","0","1",19,5.3,69,"0"
"13","0","1",18,6.8,94,"0"
"8","0","1",17,6.2,95,"0"
"5","0","2",17,6.1,98,"0"
"8","0","2",17,6.7,99,"0"
"8","0","1",19,5.2,94,"0"
"5","0","2",17,6.2,99,"0"
"12","0","1",17,6.4,93,"0"
"10","0","2",17,6.8,97,"0"
"13","0","2",19,5.7,88,"0"
"2","0","1",17,6.8,98,"0"
"6","0","2",17,6.3,91,"0"
"13","0","1",17,6.7,100,"0"
"13","0","2",18,5,85,"0"
"8","0","1",17,6.4,89,"0"
"5","0","2",17,5.9,90,"0"
"3","0","1",17,6.2,81,"0"
"13","0","2",17,6.7,96,"0"
"7","0","2",17,5.8,97,"0"
"13","0","2",17,6.2,86,"0"
"13","0","2",36,6.1,99,"0"
"13","0","1",17,5.2,84,"0"
"7","0","1",17,5.5,97,"0"
"5","0","2",17,6.7,100,"0"
"13","0","1",19,6.5,92,"0"
"15","0","1",17,6.7,89,"0"
"8","0","1",17,6.3,89,"1"
"5","0","1",17,5.6,92,"0"
"13","1","2",17,6.2,96,"0"
"12","0","1",17,6.6,95,"0"
"13","0","2",17,6.5,96,"0"
"13","0","2",19,5.6,81,"0"
"9","0","1",17,5.8,88,"0"
"7","0","2",17,6.8,99,"0"
"13","0","1",17,5.7,74,"0"
"13","0","2",17,6.2,95,"0"
"8","0","2",17,5.9,93,"0"
"7","0","2",17,6.6,97,"0"
"13","0","1",17,6,84,"0"
"13","0","1",18,5.8,93,"0"
"13","0","1",18,6.4,95,"0"
"3","0","1",17,5.4,86,"0"
"10","0","2",17,6,98,"0"
"14","1","2",41,6.8,93,"0"
"13","0","2",17,6.9,61,"0"
"6","0","2",18,6,84,"0"
"8","0","1",17,5.2,90,"0"
"13","0","1",18,6.6,99,"0"
"13","0","1",17,5.7,85,"0"
"10","0","2",19,5.8,93,"0"
"16","0","2",17,6.8,96,"0"
"8","0","2",17,6.8,99,"0"
"2","0","1",17,4.9,86,"0"
"7","0","1",18,5.7,99,"0"
"13","0","1",17,6.2,85,"0"
"13","0","1",18,6.3,92,"0"
"13","0","1",17,6.2,97,"0"
"2","0","1",17,6,85,"0"
"2","0","1",17,6.4,87,"0"
"13","0","1",33,6.9,99,"0"
"13","0","2",19,6.4,99,"0"
"13","0","2",18,7,92,"1"
"7","0","2",17,6.9,92,"0"
"16","0","2",17,6.8,93,"0"
"2","0","1",17,6.1,85,"0"
"5","0","1",18,5.2,82,"0"
"9","0","1",17,6.8,93,"0"
"13","0","1",17,6.7,88,"0"
"13","0","1",18,5.3,67,"0"
"4","0","2",18,6.4,99,"0"
"8","0","2",17,6.5,78,"0"
"13","0","2",17,5.9,96,"0"
"13","0","1",45,5.9,100,"0"
"10","0","2",19,5.3,90,"0"
"4","0","1",17,6.9,97,"0"
"13","0","2",17,6.4,90,"0"
"13","0","2",17,6.9,98,"0"
"7","0","2",18,5.8,100,"0"
"2","0","2",17,6.1,96,"0"
"9","0","2",17,6.5,96,"0"
"1","0","2",17,5.4,85,"0"
"13","0","1",17,6.6,98,"0"
"5","0","2",18,6.3,94,"0"
"6","0","1",18,6.1,97,"0"
"14","0","2",17,6.6,93,"0"
"14","0","1",17,6.1,95,"0"
"16","0","2",17,6.3,97,"0"
"7","0","1",17,5.8,98,"0"
"5","0","2",17,6.8,88,"0"
"15","0","2",17,6.8,92,"0"
"16","0","1",18,6.3,84,"0"
"5","0","1",17,6.3,98,"0"
"4","0","1",17,6.8,95,"0"
"13","0","1",18,6.8,95,"1"
"4","0","2",17,5.7,96,"1"
"6","0","2",17,6.6,97,"0"
"5","0","1",17,6.5,93,"0"
"13","1","2",17,6.9,98,"0"
"13","0","1",18,6.4,98,"0"
"13","0","1",18,5.5,95,"0"
"5","0","1",17,6.2,92,"0"
"8","0","2",21,5.2,98,"0"
"6","0","2",17,6.8,100,"0"
"13","0","1",17,5.3,95,"0"
"6","0","2",17,6.9,93,"0"
"5","0","2",18,6,67,"0"
"7","0","1",17,6.1,100,"0"
"13","0","1",17,6.4,79,"0"
"13","0","2",18,5,95,"0"
"13","0","2",17,6.5,98,"0"
"13","0","2",18,7,91,"0"
"13","0","2",17,6.2,91,"0"
"13","0","2",17,6.1,89,"0"
"3","0","1",17,6.8,96,"0"
"14","1","1",17,5.6,96,"0"
"15","0","2",17,6.7,90,"0"
"13","0","2",17,6.5,85,"0"
"8","0","1",17,5.7,82,"0"
"13","0","2",18,6.4,99,"1"
"8","0","1",17,6,83,"0"
"8","0","1",18,6.5,95,"0"
"13","0","2",17,6.8,90,"1"
"13","0","1",17,5.4,98,"0"
"11","0","2",17,6.4,93,"0"
"8","0","2",17,6.1,92,"0"
"13","0","2",18,5.5,92,"0"
"5","0","1",17,6.4,89,"0"
"3","0","1",17,5.7,87,"0"
"3","0","2",17,6.9,97,"0"
"5","0","2",17,6.5,85,"0"
"16","0","1",17,6.5,86,"0"
"13","0","1",19,6.7,100,"0"
"5","0","2",18,5.8,86,"0"
"13","0","2",18,6.6,77,"0"
"13","1","2",18,6.1,98,"0"
"6","0","1",17,6.7,94,"0"
"9","0","2",17,6.2,93,"0"
"2","0","1",17,6.4,85,"0"
"9","0","2",17,6.4,94,"0"
"5","0","1",17,6.7,98,"0"
"7","0","1",31,5,99,"0"
"13","0","1",17,6.5,85,"0"
"13","1","1",18,5.1,84,"0"
"13","0","2",17,5.8,90,"0"
"7","0","2",17,6.7,100,"0"
"13","0","1",17,5.8,96,"0"
"5","0","1",17,6.1,100,"0"
"5","0","1",18,6.9,100,"0"
"13","0","2",17,7,96,"0"
"6","1","2",18,6.7,89,"0"
"13","0","1",19,5.3,79,"0"
"2","0","1",17,6.4,94,"0"
"6","0","2",17,5.8,88,"0"
"14","0","2",17,6.4,92,"0"
"2","0","2",17,6.4,85,"0"
"12","0","2",17,6,85,"0"
"15","0","2",17,7,98,"0"
"13","0","1",18,6.1,83,"0"
"5","0","2",17,6.1,92,"0"
"13","0","1",17,6.7,85,"0"
"13","0","1",17,6.5,91,"0"
"4","0","2",18,5.6,96,"0"
"16","0","1",18,5.6,94,"0"
"9","0","1",17,5.5,86,"0"
"10","0","1",17,6.5,92,"0"
"6","0","1",18,5.6,84,"0"
"8","0","1",17,6.6,92,"0"
"7","0","1",17,6.7,98,"0"
"13","0","2",17,6.5,82,"0"
"5","0","1",20,5.7,100,"0"
"5","0","1",18,4.9,92,"0"
"13","0","1",17,6.8,100,"0"
"2","0","1",19,5.5,56,"0"
"14","0","2",17,6.4,95,"0"
"13","0","2",17,7,96,"0"
"13","0","2",17,6.2,99,"0"
"13","0","2",18,4.6,94,"0"
"8","0","1",17,6.4,93,"0"
"6","0","1",17,4.9,74,"0"
"2","0","2",17,6,89,"0"
"2","0","2",17,6.2,90,"0"
"9","0","1",17,5.3,98,"0"
"13","0","2",18,6.8,85,"0"
"15","0","2",17,6.1,64,"0"
"13","0","2",18,6.4,88,"0"
"4","0","1",17,6.9,92,"0"
"10","0","1",18,6.1,98,"0"
"8","0","2",17,6.5,96,"0"
"6","0","2",17,6.6,100,"0"
"5","0","1",18,6.3,94,"0"
"13","0","1",18,7,97,"0"
"14","0","2",17,6.5,94,"0"
"13","0","2",18,4.6,91,"0"
"13","0","1",17,6,64,"0"
"13","0","2",17,6.4,92,"0"
"8","0","1",18,5.8,92,"0"
"8","0","2",26,6.5,77,"0"
"7","0","1",17,6.6,91,"0"
"13","0","2",17,6.3,89,"0"
"6","0","1",17,4.9,81,"0"
"7","0","1",17,6.8,98,"0"
"1","0","1",17,6.3,97,"0"
"13","0","2",18,6.6,95,"0"
"9","0","1",17,5.2,66,"0"
"9","0","1",17,5.8,85,"0"
"5","0","1",17,6.7,94,"0"
"7","0","2",17,6.1,97,"0"
"13","0","2",17,6.6,95,"0"
"7","0","2",17,6.6,95,"0"
"13","1","1",18,6.7,98,"0"
"13","0","1",17,6.5,92,"0"
"10","0","2",17,6.7,97,"0"
"15","0","1",17,6.3,96,"0"
"14","0","2",17,6.6,94,"0"
"11","0","1",17,6,92,"0"
"9","0","1",17,6.3,91,"0"
"9","0","2",17,6.6,100,"0"
"5","0","1",17,6.6,97,"0"
"13","0","1",17,6.2,95,"0"
"13","0","1",18,6.8,91,"0"
"4","0","2",18,6,99,"0"
"13","0","2",17,6.2,94,"0"
"13","0","1",19,5.5,98,"0"
"13","0","1",17,6.3,94,"0"
"7","0","2",17,6.2,100,"0"
"2","0","2",17,6.4,68,"0"
"13","0","1",19,5.6,86,"0"
"4","0","2",17,6.3,88,"1"
"8","0","1",17,5.6,100,"0"
"13","0","1",17,6.6,98,"0"
"13","0","2",18,6.1,90,"0"
"5","0","2",17,6.2,92,"0"
"8","0","1",17,6,94,"0"
"4","0","2",18,6.3,97,"0"
"14","0","2",17,6.9,94,"0"
"4","0","1",21,6.4,95,"0"
"2","0","1",17,6.4,94,"0"
"4","0","2",18,6.7,100,"0"
"8","0","1",18,6.9,87,"0"
"7","0","1",18,6.5,94,"0"
"5","0","1",17,6.6,95,"1"
"6","0","1",18,6.3,90,"0"
"7","1","1",17,6.5,87,"0"
"12","0","1",17,6.4,97,"0"
"7","0","2",17,6.1,100,"0"
"11","0","1",17,5.2,85,"0"
"5","0","2",17,6.7,93,"0"
"13","0","1",17,6.5,91,"0"
"13","0","1",18,6.2,95,"0"
"13","0","2",17,6,77,"0"
"5","0","1",17,6.6,97,"0"
"5","0","2",17,7,82,"1"
"4","0","1",17,6.3,86,"0"
"6","0","2",17,6,73,"0"
"13","0","2",17,6.7,96,"0"
"5","0","1",19,5,87,"0"
"7","0","2",17,6.6,95,"0"
"10","0","1",17,5.6,83,"0"
"16","0","2",17,6.9,96,"0"
"8","0","2",18,5.8,95,"0"
"13","0","1",17,5.9,100,"0"
"8","0","1",17,5.3,84,"0"
"3","0","1",17,6.7,95,"0"
"13","0","2",17,7,97,"0"
"2","0","1",17,6.7,100,"0"
"16","0","2",20,6.1,70,"0"
"13","0","2",18,6.6,15,"0"
"8","0","1",17,6.7,97,"0"
"16","0","1",17,6.8,99,"0"
"13","0","2",18,6.1,89,"0"
"9","0","1",17,5.4,86,"0"
"16","0","1",18,5.7,93,"0"
"5","0","2",17,6.5,93,"0"
"14","0","2",17,6.2,86,"0"
"13","0","2",18,5.9,74,"0"
"10","0","2",19,6,82,"0"
"7","0","1",17,6.9,98,"0"
"13","0","1",17,5.7,99,"0"
"13","0","1",19,5.7,75,"0"
"7","0","1",17,6.3,100,"0"
"9","0","2",17,5.7,95,"0"
"13","0","1",18,5.2,92,"0"
"13","0","1",17,5.8,82,"0"
"8","0","1",18,6.1,82,"0"
"9","0","2",17,5.9,85,"0"
"16","0","1",17,6,93,"0"
"4","0","2",17,6.3,85,"0"
"9","0","2",17,5.7,68,"1"
"9","0","2",18,6.6,97,"0"
"13","0","1",17,6.2,96,"0"
"14","0","1",17,4.8,97,"0"
"1","0","2",40,6.1,90,"0"
"6","0","1",17,6.2,99,"0"
"5","0","2",44,6.8,98,"0"
"13","0","2",18,6.8,85,"0"
"2","0","1",17,6.6,89,"1"
"13","0","1",18,6.9,85,"0"
"12","0","2",17,6.3,92,"0"
"13","0","1",18,5.7,90,"0"
"13","0","2",17,6.9,96,"0"
"13","0","1",18,6.2,98,"0"
"5","0","2",17,6.2,91,"0"
"14","0","1",17,6.5,96,"0"
"13","0","1",17,6.3,90,"0"
"3","0","2",17,6.8,78,"0"
"6","0","1",17,5.4,86,"0"
"10","0","2",17,6.8,93,"0"
"8","0","2",17,6.4,91,"0"
"16","0","2",18,5.9,91,"0"
"8","0","1",18,6.8,97,"0"
"13","0","2",18,5.5,95,"0"
"8","0","2",17,6.7,84,"0"
"13","0","2",19,6.7,94,"0"
"4","0","1",17,6.7,91,"0"
"13","0","1",18,6.7,99,"0"
"6","0","2",17,5.8,92,"0"
"1","0","1",18,6.4,94,"0"
"9","0","2",17,5.6,94,"0"
"13","0","2",17,6.8,98,"0"
"10","0","1",17,5.4,87,"0"
"13","0","1",18,5.3,83,"0"
"13","0","2",17,6.3,100,"0"
"13","0","2",17,6.2,76,"0"
"6","0","2",17,6.9,92,"0"
"6","0","1",17,6.8,86,"0"
"13","0","2",17,6.2,96,"0"
"6","0","1",17,5.8,96,"0"
"13","0","2",17,5.8,87,"0"
"13","0","2",17,6.9,93,"0"
"13","0","1",17,6.7,93,"0"
"10","0","1",17,6.7,99,"0"
"6","0","2",17,6.7,92,"0"
"13","0","2",17,6.8,97,"0"
"13","0","2",19,6.6,100,"0"
"8","0","2",17,6.1,74,"0"
"8","0","2",17,6.8,93,"0"
"5","0","2",17,6.1,100,"0"
"3","0","1",17,6.5,93,"0"
"13","0","2",17,6.6,88,"0"
"9","0","2",17,6.5,96,"0"
"14","1","1",18,6.9,90,"0"
"5","0","2",17,5.2,100,"0"
"6","0","1",17,6.2,88,"0"
"13","0","1",17,6.4,87,"0"
"4","0","1",18,6.3,97,"0"
"6","0","2",17,5.5,100,"0"
"6","0","2",17,6.7,93,"0"
"13","0","1",19,5.3,88,"0"
"5","0","2",17,6.3,90,"0"
"4","0","2",17,5.6,93,"0"
"8","0","2",18,6.1,97,"0"
"2","0","2",17,6.7,89,"0"
"5","0","2",17,6.7,89,"0"
"13","0","2",18,6.6,100,"0"
"10","0","1",17,5,98,"0"
"5","0","1",18,6.3,34,"0"
"5","0","1",18,6.3,34,"0"
"5","0","1",18,6.3,34,"0"
"5","0","1",18,6.3,34,"0"
"3","0","2",17,6.9,97,"1"
"5","0","2",18,5.9,96,"0"
"13","0","1",17,6.2,90,"0"
"9","0","2",17,6.2,89,"1"
"7","0","2",17,6.8,99,"0"
"2","0","1",17,6.9,92,"0"
"6","0","1",17,6.2,99,"0"
"15","0","1",18,6.5,83,"0"
"9","0","2",17,6.4,93,"0"
"8","0","1",17,5.4,97,"0"
"10","0","2",17,6.8,96,"0"
"13","0","1",17,6.3,88,"0"
"13","0","2",18,6.9,100,"0"
"13","0","1",18,6.8,98,"0"
"13","0","2",17,5,86,"0"
"9","0","2",17,6.2,100,"0"
"5","0","2",17,6.5,90,"0"
"6","0","2",17,7,97,"1"
"4","0","2",17,6.1,100,"0"
"7","0","2",17,5.5,85,"0"
"9","0","1",17,6.4,90,"0"
"6","0","2",17,6.5,93,"0"
"5","0","1",17,5.5,99,"0"
"16","0","2",18,6.4,92,"0"
"13","0","2",17,6.6,90,"0"
"8","0","1",17,6.7,96,"0"
"16","0","2",17,7,55,"0"
"8","0","2",17,6.2,86,"0"
"13","0","2",17,6.7,80,"0"
"2","0","2",17,6.1,85,"0"
"5","0","2",17,6.9,66,"0"
"10","0","2",17,6.3,95,"0"
"10","0","2",17,6.9,94,"0"
"13","0","2",18,6.6,88,"0"
"9","0","1",17,5.3,85,"0"
"10","0","1",17,6.1,95,"0"
"5","0","1",17,6.3,92,"0"
"13","0","1",17,6.3,99,"0"
"14","1","2",17,5,84,"0"
"10","1","2",17,6.9,85,"0"
"7","0","2",17,6.8,96,"0"
"13","0","2",17,6.6,94,"0"
"8","0","1",17,6.2,96,"0"
"9","0","1",17,6.3,91,"0"
"9","0","2",17,6.3,93,"0"
"10","0","1",17,5.1,92,"0"
"8","0","2",17,6.3,99,"0"
"13","1","2",17,6.6,98,"0"
"2","0","1",17,5.2,87,"0"
"9","0","2",17,6.7,99,"1"
"13","0","1",17,5.9,94,"0"
"7","0","1",17,6.2,79,"0"
"5","0","2",18,6.8,95,"0"
"3","0","2",18,6.1,89,"0"
"10","0","1",17,5.8,94,"0"
"7","0","1",17,6.2,97,"0"
"13","0","1",17,6,95,"0"
"4","0","2",17,6.9,99,"0"
"6","0","1",17,5.3,94,"0"
"9","0","2",17,5.2,96,"0"
"7","0","1",17,6.4,100,"0"
"13","0","2",17,6.1,52,"0"
"16","0","2",17,6.4,90,"0"
"13","0","2",17,6,95,"0"
"13","0","1",17,6,100,"0"
